"","country","lowbwt","life2000","life2016"
"128","Sierra Leone",NA,39.7999992370605,53.0999984741211
"129","Singapore",8,78.5,82.9000015258789
"130","Slovakia",7,73.1999969482422,77.4000015258789
"131","Slovenia",6,76.0999984741211,80.9000015258789
"132","Soloman Islands",13,66.5,71.0999984741211
"133","Somalia",NA,51.0999984741211,55.4000015258789
"134","South Africa",15,59,63.5999984741211
"135","Spain",6,79.4000015258789,83.0999984741211
"136","Sri Lanka",22,71.5999984741211,75.3000030517578
"137","Sudan",31,58.7999992370605,65.0999984741211
"138","Sweden",4,79.6999969482422,82.4000015258789
"139","Switzerland",6,79.8000030517578,83.3000030517578
"140","Syrian Arab Republic",6,73,63.7999992370605
"141","Tajikistan",15,65.5,70.8000030517578
"142","Tanzania",13,50.7000007629395,63.9000015258789
"143","Thailand",9,70.5999984741211,75.5
"144","Togo",15,54.9000015258789,60.5999984741211
"145","Trinidad and Tobago",23,69.4000015258789,71.8000030517578
"146","Tunisia",7,72.8000030517578,76
"147","Turkey",16,70.9000015258789,76.4000015258789
"148","Turkmenistan",6,63.5,68.1999969482422
"149","Uganda",12,45.9000015258789,62.5
"150","Ukraine",5,67.5,72.5
"151","United Arab Emirates",15,74.3000030517578,77.1999969482422
"152","United Kingdom",8,77.9000015258789,81.4000015258789
"153","United States of America",8,76.9000015258789,78.5
"154","Uruguay",8,74.8000030517578,77.0999984741211
"155","Uzbekistan",7,67.3000030517578,72.3000030517578
"156","Venezuela",7,72.1999969482422,74.0999984741211
"157","Viet Nam",9,73.3000030517578,76.3000030517578
"158","Yemen",32,60.7000007629395,65.3000030517578
"159","Zambia",12,44.4000015258789,62.2999992370605
"160","Zimbabwe",11,45.9000015258789,61.4000015258789
