"","age","deaths_2018","deaths_2017","log_deaths_2017","log_deaths_2018"
"1","15-24",70.1999969482422,74,1.86923170089722,1.84633708000183
"2","25-34",128.800003051758,132.800003051758,2.12319803237915,2.10991597175598
"3","35-44",194.699996948242,195.199996948242,2.29047989845276,2.2893660068512
"4","45-54",395.899993896484,401.5,2.6036856174469,2.59758543968201
"5","55-64",886.700012207031,885.799987792969,2.94733572006226,2.94777679443359
"6","65-74",1783.30004882812,1790.90002441406,3.25307130813599,3.25122451782227
"7","75-84",4386.10009765625,4472.60009765625,3.65056014060974,3.64207863807678
"8","85 and older",13450.7001953125,13573.599609375,4.13269519805908,4.12874507904053
