"","pe1","pu","pe2","pe3","pe4","pe5","pe6","pe7"
"1",0.00999999977648258,0.00999999977648258,0.0139442225918174,0.0159045737236738,0.0198019798845053,0.0480769239366055,0.0917431190609932,0.232558146119118
"2",0.0199999995529652,0.0199999995529652,0.0277777779847383,0.031620554625988,0.0392156876623631,0.0925925895571709,0.169491529464722,0.379746824502945
"3",0.0299999993294477,0.0299999993294477,0.0415019765496254,0.0471512787044048,0.058252427726984,0.133928567171097,0.236220479011536,0.48128342628479
"4",0.0399999991059303,0.0399999991059303,0.0551181100308895,0.0625,0.0769230797886848,0.172413796186447,0.294117659330368,0.555555582046509
"5",0.0500000007450581,0.0500000007450581,0.0686274543404579,0.0776699036359787,0.095238097012043,0.20833332836628,0.344827592372894,0.61224490404129
"6",0.0599999986588955,0.0599999986588955,0.08203125,0.0926640927791595,0.113207548856735,0.241935476660728,0.389610379934311,0.656934320926666
"7",0.0700000002980232,0.0700000002980232,0.0953307375311852,0.107485607266426,0.130841121077538,0.2734375,0.429447859525681,0.693069279193878
"8",0.0799999982118607,0.0799999982118607,0.108527131378651,0.122137404978275,0.148148149251938,0.30303031206131,0.465116292238235,0.722891569137573
"9",0.0900000035762787,0.0900000035762787,0.121621623635292,0.136622384190559,0.165137618780136,0.330882340669632,0.49723756313324,0.747922420501709
"10",0.100000001490116,0.100000001490116,0.134615391492844,0.150943398475647,0.181818187236786,0.357142865657806,0.526315808296204,0.769230782985687
"11",0.109999999403954,0.109999999403954,0.147509574890137,0.165103182196617,0.198198199272156,0.381944447755814,0.552763819694519,0.787589490413666
"12",0.119999997317791,0.119999997317791,0.160305351018906,0.17910447716713,0.214285716414452,0.405405402183533,0.576923072338104,0.803571403026581
"13",0.129999995231628,0.129999995231628,0.173003807663918,0.192949905991554,0.230088502168655,0.427631586790085,0.599078357219696,0.817610085010529
"14",0.140000000596046,0.140000000596046,0.185606062412262,0.206642061471939,0.245614036917686,0.448717951774597,0.619469046592712,0.830039501190186
"15",0.150000005960464,0.150000005960464,0.198113203048706,0.220183491706848,0.260869562625885,0.46875,0.638297855854034,0.84112149477005
"16",0.159999996423721,0.159999996423721,0.210526317358017,0.233576640486717,0.275862067937851,0.487804889678955,0.655737698078156,0.851063847541809
"17",0.170000001788139,0.170000001788139,0.222846448421478,0.246823951601982,0.290598303079605,0.50595235824585,0.671936750411987,0.860033750534058
"18",0.180000007152557,0.180000007152557,0.235074624419212,0.259927809238434,0.305084735155106,0.523255825042725,0.687022924423218,0.868167221546173
"19",0.189999997615814,0.189999997615814,0.247211903333664,0.272890478372574,0.319327741861343,0.539772748947144,0.701107025146484,0.875576019287109
"20",0.200000002980232,0.200000002980232,0.259259253740311,0.28571429848671,0.333333343267441,0.555555582046509,0.714285731315613,0.882352948188782
"21",0.209999993443489,0.209999993443489,0.271217703819275,0.298401415348053,0.347107440233231,0.570652186870575,0.726643621921539,0.888575434684753
"22",0.219999998807907,0.219999998807907,0.283088237047195,0.310954064130783,0.360655725002289,0.585106372833252,0.738255023956299,0.894308924674988
"23",0.230000004172325,0.230000004172325,0.294871807098389,0.323374330997467,0.37398374080658,0.598958313465118,0.749185681343079,0.899608850479126
"24",0.239999994635582,0.239999994635582,0.306569337844849,0.335664331912994,0.387096762657166,0.61224490404129,0.75949364900589,0.904522597789764
"25",0.25,0.25,0.318181812763214,0.347826093435287,0.400000005960464,0.625,0.769230782985687,0.909090936183929
"26",0.259999990463257,0.259999990463257,0.329710155725479,0.359861582517624,0.412698417901993,0.637254893779755,0.778443098068237,0.913348972797394
"27",0.270000010728836,0.270000010728836,0.341155230998993,0.371772795915604,0.4251968562603,0.649038434028625,0.787172019481659,0.917327284812927
"28",0.280000001192093,0.280000001192093,0.352517992258072,0.383561640977859,0.4375,0.660377383232117,0.795454561710358,0.921052634716034
"29",0.28999999165535,0.28999999165535,0.363799273967743,0.395229995250702,0.449612408876419,0.671296298503876,0.803324103355408,0.924548327922821
"30",0.300000011920929,0.300000011920929,0.375,0.406779646873474,0.461538463830948,0.681818187236786,0.810810804367065,0.927835047245026
"31",0.310000002384186,0.310000002384186,0.38612100481987,0.418212473392487,0.47328245639801,0.691964268684387,0.817941963672638,0.930930912494659
"32",0.319999992847443,0.319999992847443,0.39716312289238,0.429530203342438,0.484848499298096,0.70175439119339,0.824742257595062,0.933852136135101
"33",0.330000013113022,0.330000013113022,0.408127218484879,0.440734565258026,0.496240615844727,0.711206912994385,0.831234276294708,0.936613082885742
"34",0.340000003576279,0.340000003576279,0.419014096260071,0.451827257871628,0.507462680339813,0.720339000225067,0.837438404560089,0.939226508140564
"35",0.349999994039536,0.349999994039536,0.429824560880661,0.462809920310974,0.518518507480621,0.729166686534882,0.843373477458954,0.941704034805298
"36",0.360000014305115,0.360000014305115,0.440559446811676,0.473684221506119,0.529411792755127,0.737704932689667,0.849056601524353,0.944055914878845
"37",0.370000004768372,0.370000004768372,0.451219499111176,0.484451711177826,0.540145993232727,0.745967745780945,0.854503452777863,0.946291565895081
"38",0.379999995231628,0.379999995231628,0.461805552244186,0.495113998651505,0.550724625587463,0.753968238830566,0.859728515148163,0.948419272899628
"39",0.389999985694885,0.389999985694885,0.472318351268768,0.505672633647919,0.561151087284088,0.76171875,0.864745020866394,0.950446784496307
"40",0.400000005960464,0.400000005960464,0.482758611440659,0.516129016876221,0.571428596973419,0.769230782985687,0.869565188884735,0.952380955219269
"41",0.409999996423721,0.409999996423721,0.493127137422562,0.526484727859497,0.58156031370163,0.776515126228333,0.874200403690338,0.954228103160858
