"","x","prob","weights"
"1",1,0.280000001192093,280
"2",2,0.344999998807907,345
"3",3,0.151999995112419,152
"4",4,0.12899999320507,129
"5",5,0.0579999983310699,58
"6",6,0.0219999998807907,22
"7",7,0.0140000004321337,14
