"","romnum","romage","lonnum","lonage","halnum","us16num","halage","halive","qx","lx"
"1",100,0,100,0,100,100,0,1000,0.00586399994790554,100000
"2",67,1,64,6,85.5,99.4140014648438,1,855,0.000395999988541007,99414
"3",50,5,40,16,79.8000030517578,99.3740005493164,2,798,0.000261999986832961,99374
"4",40,20,25,26,76,99.3479995727539,3,760,0.000197000001207925,99348
"5",10,60,16,36,73.1999969482422,99.3290023803711,4,732,0.000157999995280989,99329
"6",0,81.5,10,46,71,99.3130035400391,5,710,0.000151000000187196,99313
"7",NA,NA,6,56,69.1999969482422,99.2979965209961,6,692,0.000134999994770624,99298
"8",NA,NA,3,66,68,99.2850036621094,7,680,0.000120999997307081,99285
"9",NA,NA,1,76,67,99.2730026245117,8,670,0.000108000000182074,99273
"10",NA,NA,0,86,66.0999984741211,99.2620010375977,9,661,9.50000030570664e-05,99262
"11",NA,NA,NA,NA,65.3000030517578,99.2519989013672,10,653,8.90000010258518e-05,99252
"12",NA,NA,NA,NA,64.5999984741211,99.2440032958984,11,646,9.50000030570664e-05,99244
"13",NA,NA,NA,NA,64,99.234001159668,12,640,0.000121999997645617,99234
"14",NA,NA,NA,NA,63.4000015258789,99.2220001220703,13,634,0.000174999993760139,99222
"15",NA,NA,NA,NA,62.7999992370605,99.2050018310547,14,628,0.000249000004259869,99205
"16",NA,NA,NA,NA,62.2000007629395,99.1800003051758,15,622,0.000327999994624406,99180
"17",NA,NA,NA,NA,61.5999984741211,99.1470031738281,16,616,0.000410000007832423,99147
"18",NA,NA,NA,NA,61,99.1070022583008,17,610,0.000501999980770051,99107
"19",NA,NA,NA,NA,60.4000015258789,99.056999206543,18,604,0.00060299999313429,99057
"20",NA,NA,NA,NA,59.7999992370605,98.9970016479492,19,598,0.000706000020727515,98997
"21",NA,NA,NA,NA,59.2000007629395,98.927001953125,20,592,0.000814000028185546,98927
"22",NA,NA,NA,NA,58.5999984741211,98.8470001220703,21,586,0.000913999974727631,98847
"23",NA,NA,NA,NA,57.9000015258789,98.7570037841797,22,579,0.000994000001810491,98757
"24",NA,NA,NA,NA,57.2999992370605,98.6579971313477,23,573,0.00104799994733185,98658
"25",NA,NA,NA,NA,56.7000007629395,98.5550003051758,24,567,0.00108299998100847,98555
"26",NA,NA,NA,NA,56,98.447998046875,25,560,0.00111199996899813,98448
"27",NA,NA,NA,NA,55.2999992370605,98.338996887207,26,553,0.00114299997221678,98339
"28",NA,NA,NA,NA,54.5999984741211,98.2259979248047,27,546,0.00117699999827892,98226
"29",NA,NA,NA,NA,53.9000015258789,98.1110000610352,28,539,0.00121599994599819,98111
"30",NA,NA,NA,NA,53.0999984741211,97.9919967651367,29,531,0.00126000004820526,97992
"31",NA,NA,NA,NA,52.2999992370605,97.8679962158203,30,523,0.00130600004922599,97868
"32",NA,NA,NA,NA,51.5,97.7399978637695,31,515,0.00135300005786121,97740
"33",NA,NA,NA,NA,50.7000007629395,97.6080017089844,32,507,0.0014009999576956,97608
"34",NA,NA,NA,NA,49.9000015258789,97.4710006713867,33,499,0.00145099998917431,97471
"35",NA,NA,NA,NA,49,97.3300018310547,34,490,0.00150400004349649,97330
"36",NA,NA,NA,NA,48.0999984741211,97.1829986572266,35,481,0.00156600004993379,97183
"37",NA,NA,NA,NA,47.2000007629395,97.0309982299805,36,472,0.00163499999325722,97031
"38",NA,NA,NA,NA,46.2999992370605,96.8730010986328,37,463,0.0017010000301525,96873
"39",NA,NA,NA,NA,45.4000015258789,96.7080001831055,38,454,0.0017630000365898,96708
"40",NA,NA,NA,NA,44.5,96.5370025634766,39,445,0.00182699994184077,96537
"41",NA,NA,NA,NA,43.5999984741211,96.3610000610352,40,436,0.00190699996892363,96361
"42",NA,NA,NA,NA,42.7000007629395,96.177001953125,41,427,0.00201099994592369,96177
"43",NA,NA,NA,NA,41.7000007629395,95.984001159668,42,417,0.00213599996641278,95984
"44",NA,NA,NA,NA,40.7000007629395,95.7789993286133,43,407,0.00227999989874661,95779
"45",NA,NA,NA,NA,39.7000007629395,95.5599975585938,44,397,0.0024449999909848,95560
"46",NA,NA,NA,NA,38.7000007629395,95.3270034790039,45,387,0.00262099993415177,95327
"47",NA,NA,NA,NA,37.7000007629395,95.0770034790039,46,377,0.00282100006006658,95077
"48",NA,NA,NA,NA,36.7000007629395,94.8089981079102,47,367,0.00306600006297231,94809
"49",NA,NA,NA,NA,35.7000007629395,94.5179977416992,48,357,0.00336900004185736,94518
"50",NA,NA,NA,NA,34.5999984741211,94.1999969482422,49,346,0.00371999992057681,94200
"51",NA,NA,NA,NA,33.5,93.8489990234375,50,335,0.00408999994397163,93849
"52",NA,NA,NA,NA,32.4000015258789,93.4649963378906,51,324,0.00447400007396936,93465
"53",NA,NA,NA,NA,31.2999992370605,93.0469970703125,52,313,0.00489100022241473,93047
"54",NA,NA,NA,NA,30.2000007629395,92.5920028686523,53,302,0.00534400017932057,92592
"55",NA,NA,NA,NA,29.2000007629395,92.0970001220703,54,292,0.00582200009375811,92097
"56",NA,NA,NA,NA,28.2000007629395,91.5609970092773,55,282,0.00631899992004037,91561
"57",NA,NA,NA,NA,27.2000007629395,90.9830017089844,56,272,0.00682500004768372,90983
"58",NA,NA,NA,NA,26.2000007629395,90.3619995117188,57,262,0.00734099978581071,90362
"59",NA,NA,NA,NA,25.2000007629395,89.697998046875,58,252,0.00787699967622757,89698
"60",NA,NA,NA,NA,24.2000007629395,88.9919967651367,59,242,0.0084469998255372,88992
"61",NA,NA,NA,NA,23.2000007629395,88.2399978637695,60,232,0.00906500034034252,88240
